"date","communication","entertainment","development","learning","uncategorized","utilities","social","shopping","news","business","design"
"2020-09-01T00:00:00",1067,962,616,527,229,175,99,17,,,
"2020-09-01T01:00:00",296,80,609,13,234,26,605,,,,
"2020-09-01T09:00:00",200,2136,766,,179,101,,,,,
"2020-09-01T10:00:00",330,122,2341,34,29,285,,,10,,
"2020-09-01T11:00:00",80,,2451,16,559,151,,,,9,
"2020-09-01T12:00:00",9,1614,1868,,9,91,,,,113,
"2020-09-01T13:00:00",77,147,1710,24,720,873,,,,3,28
"2020-09-01T14:00:00",37,1889,1201,165,30,166,,,72,,
"2020-09-01T15:00:00",445,,1835,715,,181,,,,,
"2020-09-01T16:00:00",175,,2152,690,26,183,80,,,,
"2020-09-01T17:00:00",530,1,2777,242,7,53,,,,,
"2020-09-01T18:00:00",2210,7,470,12,692,81,,,,51,
"2020-09-01T19:00:00",757,793,,27,373,1228,,53,19,7,
"2020-09-01T20:00:00",18,2713,831,3,,29,,,,,
"2020-09-01T21:00:00",418,,1512,39,663,101,,368,,82,
"2020-09-01T22:00:00",281,337,1439,26,369,184,,2,,7,
"2020-09-01T23:00:00",2060,4,,,109,64,178,,,,
"2020-09-02T00:00:00",7,,,,27,46,376,,,,
"2020-09-02T08:00:00",343,66,,23,188,697,,39,,342,12
"2020-09-02T09:00:00",124,287,907,,899,175,,,,1038,
"2020-09-02T10:00:00",219,161,1483,261,578,433,,,27,675,
"2020-09-02T11:00:00",572,6,1337,74,555,200,,,,493,
"2020-09-02T12:00:00",106,5,537,,921,70,,,,1456,
"2020-09-02T13:00:00",403,,21,322,189,40,1,,,61,136
"2020-09-02T14:00:00",479,,,178,17,1622,,54,,,
"2020-09-02T15:00:00",429,,,,,698,1303,80,,,
"2020-09-02T16:00:00",334,88,,207,535,260,13,51,,109,85
"2020-09-02T17:00:00",169,,,12,,34,18,58,,300,
"2020-09-02T18:00:00",1009,,,,,21,,,,6,
"2020-09-02T19:00:00",686,,,,,46,314,,,,
"2020-09-02T20:00:00",169,1481,,,23,87,151,,,10,
"2020-09-02T21:00:00",1018,1417,252,91,216,559,,,44,450,
"2020-09-02T22:00:00",852,1476,575,50,13,406,,,,4,
"2020-09-02T23:00:00",705,2157,,53,251,550,,,,,
"2020-09-03T00:00:00",3,3613,4,15,3,192,,,,,
"2020-09-03T01:00:00",22,22,,769,,41,,,,200,
"2020-09-03T08:00:00",483,707,,6,8,69,,,,140,
"2020-09-03T09:00:00",598,677,45,49,108,387,326,,,1560,
"2020-09-03T10:00:00",76,,772,,803,79,,,,1331,
"2020-09-03T11:00:00",475,6,1089,6,209,359,10,,,1108,43
"2020-09-03T12:00:00",41,,2334,17,190,152,,,,760,
"2020-09-03T13:00:00",613,55,436,10,622,381,,6,335,1042,
"2020-09-03T14:00:00",556,1346,329,74,710,733,208,189,,123,
"2020-09-03T15:00:00",192,26,1114,105,796,351,30,338,,,
"2020-09-03T16:00:00",3,365,2499,390,25,242,,,39,6,
"2020-09-03T17:00:00",61,272,218,89,2162,728,,,,137,
"2020-09-03T19:00:00",1535,,149,49,499,594,,409,304,223,
"2020-09-03T20:00:00",1383,6,90,54,1977,62,,,,463,276
"2020-09-03T21:00:00",2655,15,683,8,65,,,,,144,18
"2020-09-03T22:00:00",3172,5,296,17,21,44,,,,207,
"2020-09-03T23:00:00",3024,,344,23,127,114,,,,,
"2020-09-04T00:00:00",2313,573,84,258,59,221,,,,207,99
"2020-09-04T01:00:00",,1522,,,,11,,,,68,
"2020-09-04T08:00:00",271,,296,,297,40,,,,293,
"2020-09-04T09:00:00",443,562,357,997,101,245,31,,,808,
"2020-09-04T10:00:00",290,1217,241,,444,76,,,,1275,
"2020-09-04T11:00:00",173,158,263,54,393,121,,,,2604,277
"2020-09-04T12:00:00",53,,1022,103,1973,31,,,,927,712
"2020-09-04T13:00:00",122,,1000,13,1033,76,,,24,1381,
"2020-09-04T14:00:00",124,,979,35,472,113,,,,1597,14
"2020-09-04T15:00:00",134,1199,517,,164,330,,,,1573,
"2020-09-04T16:00:00",33,1483,8,226,6,475,,,110,308,
"2020-09-04T17:00:00",551,832,499,464,545,245,,,,150,32
"2020-09-04T18:00:00",412,348,1935,403,79,307,,,,26,23
"2020-09-04T19:00:00",113,403,836,142,580,240,,,,,
"2020-09-04T20:00:00",643,1068,46,1057,458,57,,,521,,
"2020-09-04T21:00:00",1043,355,503,365,1334,35,,,,,
"2020-09-04T22:00:00",173,19,704,14,1485,344,81,,,,
"2020-09-04T23:00:00",993,6,115,48,807,103,,,,,
"2020-09-05T00:00:00",455,318,17,,203,21,,,,14,
"2020-09-05T01:00:00",,7,159,87,1810,626,1038,,,121,
"2020-09-05T02:00:00",,,253,66,168,18,,,,482,
"2020-09-05T08:00:00",85,81,,6,942,29,,,,34,
"2020-09-05T09:00:00",82,,1800,184,1243,223,,,60,5,
"2020-09-05T10:00:00",19,3,1224,179,318,365,,,,396,3
"2020-09-05T11:00:00",310,18,742,61,388,75,,,65,96,
"2020-09-05T12:00:00",293,,,12,,39,,,,,
"2020-09-05T13:00:00",327,,,13,,50,,,,,
"2020-09-05T14:00:00",881,,,150,161,132,,16,,617,
"2020-09-05T15:00:00",1327,24,172,,226,735,,,,35,
"2020-09-05T16:00:00",732,565,660,116,1028,141,,,249,130,
"2020-09-05T17:00:00",593,54,877,67,896,47,,517,,6,
"2020-09-05T18:00:00",111,,1946,332,619,160,306,,,46,
"2020-09-05T19:00:00",211,57,799,31,870,105,,,,38,
"2020-09-05T20:00:00",226,1195,1182,174,445,542,,,,44,
"2020-09-05T21:00:00",,3587,,,,2,,,,,
"2020-09-05T22:00:00",93,3010,,,,5,,,,,
"2020-09-05T23:00:00",2044,742,14,351,149,604,,,,,
"2020-09-06T00:00:00",1508,,,78,,19,,,,,
"2020-09-06T01:00:00",41,,,,,,,,,,
"2020-09-06T09:00:00",424,99,247,790,194,145,6,,,5,
"2020-09-06T10:00:00",249,520,629,476,317,734,,,,53,
"2020-09-06T11:00:00",1229,88,7,1799,897,1116,,,209,,
"2020-09-06T12:00:00",222,,1938,725,635,41,,,9,2,
"2020-09-06T13:00:00",46,74,2111,207,1032,76,,,8,18,
"2020-09-06T14:00:00",84,1169,1040,106,776,108,,,,,
"2020-09-06T15:00:00",438,1830,448,,362,260,273,,,,
"2020-09-06T16:00:00",3632,,88,493,892,68,,20,,,
"2020-09-06T17:00:00",656,1539,285,293,352,235,,,,,
"2020-09-06T18:00:00",1035,75,472,,970,86,422,9,,,
"2020-09-06T19:00:00",1280,,748,101,42,17,,,,,
"2020-09-06T20:00:00",1666,,308,,,9,,,,,
"2020-09-06T21:00:00",2279,915,260,7,50,,,,41,,
"2020-09-06T22:00:00",232,1051,1337,52,457,87,,,,,
"2020-09-06T23:00:00",352,573,638,396,347,21,,,305,10,
"2020-09-07T00:00:00",1138,27,,,,8,,,,,
"2020-09-07T01:00:00",45,101,1397,31,445,317,45,,,,
"2020-09-07T02:00:00",,,287,,,20,80,,,,
"2020-09-07T08:00:00",296,,163,83,207,293,,,,466,
"2020-09-07T09:00:00",38,,343,123,201,71,38,,,1404,
"2020-09-07T10:00:00",170,751,460,,899,43,,,,1445,
"2020-09-07T11:00:00",21,,1477,376,766,85,,,,1609,
"2020-09-07T12:00:00",,,1854,10,1656,77,,,,868,
"2020-09-07T13:00:00",132,1140,308,29,1329,385,,,,120,
"2020-09-07T14:00:00",76,1597,525,5,191,410,,,8,4,
"2020-09-07T15:00:00",129,370,452,1385,55,108,,,,109,
"2020-09-07T16:00:00",754,,182,638,15,111,,539,,,
"2020-09-07T17:00:00",391,,1986,108,865,101,,,50,,
"2020-09-07T18:00:00",805,429,213,,28,1175,,,65,12,
"2020-09-07T19:00:00",275,1468,,1,41,35,752,,,,
"2020-09-07T20:00:00",406,185,89,20,2056,384,46,,,207,
"2020-09-07T21:00:00",579,351,359,,2034,69,,,,,
"2020-09-07T22:00:00",2700,2,592,168,399,740,,,,9,
"2020-09-07T23:00:00",2776,,286,832,129,335,,,,,
"2020-09-08T00:00:00",1387,,878,16,85,75,303,,,,
"2020-09-08T01:00:00",10,819,1697,11,24,198,,,,,
"2020-09-08T02:00:00",,,1225,29,229,56,,,,,
"2020-09-08T08:00:00",447,,106,95,31,320,406,,,104,
"2020-09-08T09:00:00",62,,,1259,12,420,,1,,133,
"2020-09-08T10:00:00",315,131,1541,10,1040,580,,168,,71,
"2020-09-08T11:00:00",51,214,541,339,1900,176,92,,,2412,
"2020-09-08T12:00:00",,,1632,172,1569,42,,,,72,
"2020-09-08T13:00:00",1199,,90,249,569,111,1234,,2,,
"2020-09-08T14:00:00",239,277,1835,155,310,845,233,,20,726,
"2020-09-08T15:00:00",539,,2325,51,264,185,28,,263,518,3
"2020-09-08T16:00:00",460,16,1609,67,1625,251,,,,26,
"2020-09-08T17:00:00",202,290,2173,49,584,145,,,,1279,
"2020-09-08T18:00:00",59,190,1861,6,262,104,,,,,
"2020-09-08T19:00:00",384,1021,1403,4,100,237,,,,15,
"2020-09-08T20:00:00",318,324,1271,7,127,949,,,,47,
"2020-09-08T21:00:00",212,99,1935,,890,139,,,,296,
"2020-09-08T22:00:00",828,38,,12,1586,134,142,2,,,
"2020-09-08T23:00:00",864,916,220,8,1395,42,388,,,,
"2020-09-09T00:00:00",634,,518,275,1904,134,,,20,,
"2020-09-09T01:00:00",29,2,306,,1073,72,,,,79,
"2020-09-09T08:00:00",227,839,507,,132,146,,,,214,
"2020-09-09T09:00:00",281,1655,442,17,356,440,46,14,,16,
"2020-09-09T10:00:00",1122,,325,216,374,40,477,,,810,
"2020-09-09T11:00:00",303,,2708,9,370,214,,,,1207,
"2020-09-09T12:00:00",175,515,1423,6,996,118,200,,,721,
"2020-09-09T13:00:00",330,261,58,,25,534,,,,,
"2020-09-09T14:00:00",302,669,2,1305,32,523,,,,544,
"2020-09-09T15:00:00",133,,1263,322,398,717,,30,,192,
"2020-09-09T16:00:00",419,21,2600,40,36,181,,32,32,248,
"2020-09-09T17:00:00",547,,2426,45,108,127,,21,,474,
"2020-09-09T18:00:00",682,14,1080,152,62,75,,,,,
"2020-09-09T19:00:00",26,153,173,4,441,3092,2,,,112,
"2020-09-09T20:00:00",976,132,290,77,1749,401,,,,43,
"2020-09-09T21:00:00",987,,1978,20,135,385,272,,,57,
"2020-09-09T22:00:00",1041,1317,250,29,121,544,,,,,
"2020-09-09T23:00:00",1307,,,,,387,,,,,
"2020-09-10T00:00:00",960,,,,,27,71,,,,
"2020-09-10T06:00:00",94,,,49,,103,,,,,
"2020-09-10T07:00:00",108,40,,,,108,458,,,24,108
"2020-09-10T08:00:00",234,2,,211,53,384,12,,,76,73
"2020-09-10T09:00:00",38,,,121,68,94,,,,,
"2020-09-10T11:00:00",,,,161,,16,,,,,
"2020-09-10T13:00:00",42,,,14,,26,164,,,,
"2020-09-10T15:00:00",,,,19,,,,,,,
"2020-09-10T16:00:00",,1106,,42,,3,17,,,,
"2020-09-10T17:00:00",512,339,,,,77,,,,,
"2020-09-10T18:00:00",,,,46,,,,,,,
"2020-09-10T19:00:00",145,,,181,,75,,,,,
"2020-09-10T20:00:00",594,130,,113,,73,761,,,32,
"2020-09-10T21:00:00",1405,684,5,157,13,111,,,,,
"2020-09-10T22:00:00",1432,17,,46,982,132,18,67,,,
"2020-09-10T23:00:00",769,2602,,92,,109,,19,,3,
"2020-09-11T00:00:00",,780,,,,4,,,,,
