"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-01T01:00:00",31,26,11,,,,,,,,,
"2021-09-01T08:00:00",338,53,272,733,252,87,,,,,,
"2021-09-01T09:00:00",312,118,955,,999,195,966,22,6,,,
"2021-09-01T10:00:00",121,147,2080,,145,200,841,,,28,,
"2021-09-01T11:00:00",57,102,1594,,3,4,,,,127,,
"2021-09-01T12:00:00",123,167,2956,,180,23,,,,73,,
"2021-09-01T13:00:00",186,76,1860,,402,22,,,,83,,
"2021-09-01T14:00:00",65,313,1409,826,4,,,,,,,
"2021-09-01T15:00:00",43,305,1665,536,693,10,,,,19,,
"2021-09-01T16:00:00",1052,127,605,7,377,177,1213,,,16,,
"2021-09-01T17:00:00",518,144,,,,11,2863,,,,55,
"2021-09-01T18:00:00",239,106,,,125,22,3062,,,4,,
"2021-09-01T19:00:00",115,100,2,,54,30,3193,,,,77,
"2021-09-01T20:00:00",76,106,2,2724,269,177,5,,,19,,212
"2021-09-01T21:00:00",68,145,2785,40,22,31,159,,,65,,227
"2021-09-01T22:00:00",6,91,1314,,33,,,,,475,,
"2021-09-01T23:00:00",59,63,1101,1420,3,218,,,,215,,
"2021-09-02T00:00:00",150,494,,1712,,,,,,,,
"2021-09-02T08:00:00",99,373,18,1583,107,,,,,,,
"2021-09-02T09:00:00",144,245,2930,442,88,62,,,,68,,
"2021-09-02T10:00:00",54,93,2054,708,218,30,,,,1788,,
"2021-09-02T11:00:00",172,73,2071,552,184,91,,,,1225,,
"2021-09-02T12:00:00",280,233,2781,80,,184,,,,,,
"2021-09-02T13:00:00",,196,2249,334,62,77,,,,,,
"2021-09-02T14:00:00",222,116,706,2961,260,23,,,,93,,
"2021-09-02T15:00:00",479,112,232,,16,7,,,,447,,
"2021-09-02T16:00:00",,74,,,,,,,,530,,
"2021-09-02T17:00:00",298,64,154,,23,,,,,271,,
"2021-09-02T18:00:00",119,329,,1351,,11,,,,,,
"2021-09-02T19:00:00",348,101,302,2206,467,47,,,,104,,
"2021-09-02T20:00:00",160,116,1068,1932,166,,,145,,,,
"2021-09-02T21:00:00",35,130,145,249,1181,151,,721,,207,,
"2021-09-03T00:00:00",,25,21,1994,,,,,,,,
"2021-09-03T01:00:00",,,,3598,,,,,,,,
"2021-09-03T02:00:00",,6,,73,,,,,,,,
"2021-09-03T09:00:00",116,284,884,735,212,8,557,,,,,
"2021-09-03T10:00:00",337,579,,,4,80,2486,,,,,93
"2021-09-03T11:00:00",414,279,3,529,855,220,480,234,,,,19
"2021-09-03T12:00:00",447,432,173,237,324,29,892,785,,192,,
"2021-09-03T13:00:00",1244,91,19,1527,224,66,,261,,66,,
"2021-09-03T14:00:00",332,61,,1977,96,378,87,,,,,159
"2021-09-03T15:00:00",129,114,494,,550,,11,,,647,,54
"2021-09-03T16:00:00",768,378,144,563,867,,,,,,64,
"2021-09-03T17:00:00",1714,71,,424,1375,,6,,,,,
"2021-09-03T18:00:00",2678,604,,12,52,31,11,186,,,,
"2021-09-03T19:00:00",526,194,,2051,6,,459,46,,3,,
"2021-09-03T20:00:00",1422,293,,542,,,,,,,,995
"2021-09-03T21:00:00",216,,,,,,,,,,,
"2021-09-03T22:00:00",2,270,,25,522,,8,,,,,
"2021-09-04T01:00:00",1,120,,977,6,,,,,21,,
"2021-09-04T02:00:00",,4,,34,,,,,,5,,
"2021-09-04T08:00:00",28,120,44,1018,20,,,,,33,,
"2021-09-04T09:00:00",492,168,682,227,420,85,906,568,,1215,,
"2021-09-04T10:00:00",429,375,586,,168,18,1565,,,595,,
"2021-09-04T11:00:00",452,235,1478,56,65,23,1310,,,,,
"2021-09-04T12:00:00",971,137,114,9,,28,155,990,98,545,53,
"2021-09-04T13:00:00",155,62,,1527,57,5,1236,455,,387,,
"2021-09-04T14:00:00",55,58,,3359,100,6,,10,,,,
"2021-09-04T15:00:00",93,361,5,3198,84,22,,,,229,,
"2021-09-04T16:00:00",119,6,,198,,5,398,,,4,,
"2021-09-04T17:00:00",225,1191,,,14,,623,,,10,,
"2021-09-04T20:00:00",545,205,,,28,628,,,,10,,255
"2021-09-04T21:00:00",159,90,,2491,19,,250,,,26,,549
"2021-09-04T22:00:00",819,56,13,1532,54,2,223,872,,8,,
"2021-09-04T23:00:00",113,53,284,234,885,15,,,,13,,
"2021-09-05T00:00:00",873,70,,,13,194,1192,,,,,2
"2021-09-05T01:00:00",1263,30,,,6,,2057,,,,,
"2021-09-05T08:00:00",62,379,6,651,66,,,,,12,,
"2021-09-05T09:00:00",891,425,627,437,581,409,12,54,,179,,
"2021-09-05T10:00:00",444,125,1000,11,139,3,134,496,,1002,,
"2021-09-05T11:00:00",583,470,1193,,271,245,796,,,324,,
"2021-09-05T12:00:00",157,231,1629,1422,151,34,,,,4,,
"2021-09-05T13:00:00",410,125,756,1469,36,214,,49,,,,
"2021-09-05T14:00:00",182,197,418,1180,90,,,,,,,
"2021-09-05T17:00:00",,47,,,,,,,,,,
"2021-09-05T19:00:00",230,15,,74,,,,,,,,
"2021-09-05T20:00:00",1000,51,105,168,,36,,,,55,,
"2021-09-05T21:00:00",1492,102,355,,110,27,,,,461,,
